utterance,referenceTimestamp,intent,slot[question],slot[monthly_or_yearly]
stop,,AMAZON.StopIntent,,
Jarvis,,AskingQuestionIntent,Jarvis,
yes,,AMAZON.YesIntent,,
exit,,ExitAppIntent,,
no,,AMAZON.NoIntent,,
no,,AMAZON.NoIntent,,
yes,,AMAZON.YesIntent,,
cancel,,AMAZON.CancelIntent,,
ok,,AMAZON.YesIntent,,
thank you,,AMAZON.StopIntent,,
nothing,,AMAZON.CancelIntent,,
shut up,,AMAZON.StopIntent,,
off,,AMAZON.StopIntent,,
never mind,,AMAZON.CancelIntent,,
next,,AskingQuestionIntent,next,
ok,,AMAZON.YesIntent,,
turn off,,AMAZON.StopIntent,,
close,,ExitAppIntent,,
quit,,ExitAppIntent,,
go home,,AMAZON.NavigateHomeIntent,,
thank you,,AMAZON.StopIntent,,
travis,,AskingQuestionIntent,travis,
no thank you,,AMAZON.NoIntent,,
home,,AMAZON.NavigateHomeIntent,,
how far is the moon,,AskingQuestionIntent,how far is the moon,
how are you,,AskingQuestionIntent,how are you,
what,,AskingQuestionIntent,what,
tell me a joke,,AskingQuestionIntent,tell me a joke,
bye-bye,,AMAZON.StopIntent,,
no thank you,,AMAZON.NoIntent,,
what,,AskingQuestionIntent,what,
why is the sky blue,,AskingQuestionIntent,why is the sky blue,
what time is it,,AskingQuestionIntent,what time is it,
can you,,AskingQuestionIntent,can you,
how much is it,,AskingQuestionIntent,how much is it,
goodbye,,AMAZON.StopIntent,,
shut the fuck up,,AMAZON.StopIntent,,
drop in,,AskingQuestionIntent,drop in,
what is,,AskingQuestionIntent,what is,
that's all,,AMAZON.StopIntent,,
what is a black hole,,AskingQuestionIntent,what is a black hole,
hi,,AskingQuestionIntent,hi,
volume up,,AskingQuestionIntent,volume up,
that's it,,AMAZON.StopIntent,,
Alexa,,AskingQuestionIntent,Alexa,
tell me,,AskingQuestionIntent,tell me,
sure,,AMAZON.YesIntent,,
how much does it cost,,AskingQuestionIntent,how much does it cost,
thank you,,AMAZON.StopIntent,,
what time is it,,AskingQuestionIntent,what time is it,
Alexa,,AskingQuestionIntent,Alexa,
joggers,,AskingQuestionIntent,joggers,
question,,AskingQuestionIntent,question,
javis,,AskingQuestionIntent,javis,
how far is the moon,,AskingQuestionIntent,how far is the moon,
how are you doing,,AskingQuestionIntent,how are you doing,
pause,,AskingQuestionIntent,pause,
continue,,AMAZON.ResumeIntent,,
jaarvis,,AskingQuestionIntent,jaarvis,
i don't know,,AskingQuestionIntent,i don't know,
hello,,AskingQuestionIntent,hello,
what time is it,,AskingQuestionIntent,what time is it,
who are you,,AskingQuestionIntent,who are you,
hello,,AskingQuestionIntent,hello,
how was your day,,AskingQuestionIntent,how was your day,
Jarvis hi,,AskingQuestionIntent,Jarvis hi,
repeat,,AskingQuestionIntent,repeat,
amazon,,AskingQuestionIntent,Amazon,
what is the,,AskingQuestionIntent,what is the,
i don't know,,AskingQuestionIntent,i don't know,
yeah,,AMAZON.YesIntent,,
