utterance,referenceTimestamp,intent,slot[question]
next,,AskingQuestionIntent,next
how far is the moon,,AskingQuestionIntent,how far is the moon
how are you,,AskingQuestionIntent,how are you
what,,AskingQuestionIntent,what
tell me a joke,,AskingQuestionIntent,tell me a joke
why is the sky blue,,AskingQuestionIntent,why is the sky blue
what time is it,,AskingQuestionIntent,what time is it
can you,,AskingQuestionIntent,can you
how much is it,,AskingQuestionIntent,how much is it
what is,,AskingQuestionIntent,what is
what is a black hole,,AskingQuestionIntent,what is a black hole
hi,,AskingQuestionIntent,hi
volume up,,AskingQuestionIntent,volume up
tell me,,AskingQuestionIntent,tell me
how much does it cost,,AskingQuestionIntent,how much does it cost
alexa,,AskingQuestionIntent,alexa
how are you doing,,AskingQuestionIntent,how are you doing
i don't know,,AskingQuestionIntent,i don't know
hello,,AskingQuestionIntent,hello
who are you,,AskingQuestionIntent,who are you
how was your day,,AskingQuestionIntent,how was your day
jarvis hi,,AskingQuestionIntent,jarvis hi
repeat,,AskingQuestionIntent,repeat
what is the,,AskingQuestionIntent,what is the
can you tell me a story,,AskingQuestionIntent,can you tell me a story
tell me about,,AskingQuestionIntent,tell me about
nothing right now thank you,,AskingQuestionIntent,nothing right now thank you
jarvis what time is it,,AskingQuestionIntent,jarvis what time is it
how are you today,,AskingQuestionIntent,how are you today
computer,,AskingQuestionIntent,computer
give me a joke,,AskingQuestionIntent,give me a joke
what is a,,AskingQuestionIntent,what is a
nothing thank you,,AskingQuestionIntent,nothing thank you
jarvis,,AskingQuestionIntent,jarvis
tell me about,,AskingQuestionIntent,tell me about
well,,AskingQuestionIntent,well
why is sky is blue,,AskingQuestionIntent,why is sky is blue
what is the meaning of life,,AskingQuestionIntent,what is the meaning of life
what is the tallest building in the world,,AskingQuestionIntent,what is the tallest building in the world
tell me a story,,AskingQuestionIntent,tell me a story
play music,,AskingQuestionIntent,play music
how many people in the world,,AskingQuestionIntent,how many people in the world
good night,,AskingQuestionIntent,good night
how old are you,,AskingQuestionIntent,how old are you
what is your name,,AskingQuestionIntent,what is your name
thanks,,AskingQuestionIntent,thanks
is,,AskingQuestionIntent,is
how is the weather today,,AskingQuestionIntent,how is the weather today
monthly,,AskingQuestionIntent,monthly
tell me more,,AskingQuestionIntent,tell me more
interesting,,AskingQuestionIntent,interesting
stop music,,AskingQuestionIntent,stop music
more,,AskingQuestionIntent,more
what's the price,,AskingQuestionIntent,what's the price
how will the world end,,AskingQuestionIntent,how will the world end
hang up,,AskingQuestionIntent,hang up
how do you jump,,AskingQuestionIntent,how do you jump
how's the weather today,,AskingQuestionIntent,how's the weather today
what is machine learning,,AskingQuestionIntent,what is machine learning
what is this,,AskingQuestionIntent,what is this
how much,,AskingQuestionIntent,how much
what are you,,AskingQuestionIntent,what are you
jarvis no,,AskingQuestionIntent,jarvis no
volume down two,,AskingQuestionIntent,volume down two
i love you,,AskingQuestionIntent,i love you
how can i commit suicide,,AskingQuestionIntent,how can i commit suicide
jarvis hello,,AskingQuestionIntent,jarvis hello
hola,,AskingQuestionIntent,hola
jarvis what is,,AskingQuestionIntent,jarvis what is
chat,,AskingQuestionIntent,chat
give me a minute,,AskingQuestionIntent,give me a minute
jarvis what is iron man,,AskingQuestionIntent,jarvis what is iron man
what is one plus one,,AskingQuestionIntent,what is one plus one
why are you not working,,AskingQuestionIntent,why are you not working
cool,,AskingQuestionIntent,cool
ok never mind,,AskingQuestionIntent,ok never mind
play music i like,,AskingQuestionIntent,play music i like
sing a song,,AskingQuestionIntent,sing a song
how to cook pasta,,AskingQuestionIntent,how to cook pasta
let's play,,AskingQuestionIntent,let's play
what is your favorite song,,AskingQuestionIntent,what is your favorite song
c.,,AskingQuestionIntent,c.
love,,AskingQuestionIntent,love
jarvis what's the weather,,AskingQuestionIntent,jarvis what's the weather
tell me a joke,,AskingQuestionIntent,tell me a joke
can you tell me,,AskingQuestionIntent,can you tell me
what's your name,,AskingQuestionIntent,what's your name
anything,,AskingQuestionIntent,anything
what is the price,,AskingQuestionIntent,what is the price
no thank you no thank you,,AskingQuestionIntent,no thank you no thank you
who is,,AskingQuestionIntent,who is
finish the story,,AskingQuestionIntent,finish the story
how do,,AskingQuestionIntent,how do
how many,,AskingQuestionIntent,how many
can you repeat,,AskingQuestionIntent,can you repeat
blood type,,AskingQuestionIntent,blood type
volume four,,AskingQuestionIntent,volume four
turn off the music,,AskingQuestionIntent,turn off the music
options,,AskingQuestionIntent,options
fun,,AskingQuestionIntent,fun
how much is the yearly subscription,,AskingQuestionIntent,how much is the yearly subscription
how do you make a paper airplane,,AskingQuestionIntent,how do you make a paper airplane
clean my room,,AskingQuestionIntent,clean my room
search u. s. a.,,AskingQuestionIntent,search u. s. a.
what is the name,,AskingQuestionIntent,what is the name
turn the volume to twenty five percent,,AskingQuestionIntent,turn the volume to twenty five percent
up attending,,AskingQuestionIntent,up attending
turn the turn the volume up to ten,,AskingQuestionIntent,turn the turn the volume up to ten
give me a recipe,,AskingQuestionIntent,give me a recipe
scroll down,,AskingQuestionIntent,scroll down
ok give me some information about,,AskingQuestionIntent,ok give me some information about
where,,AskingQuestionIntent,where
astro,,AskingQuestionIntent,astro
hell no,,AskingQuestionIntent,hell no
cheeto's,,AskingQuestionIntent,cheeto's
i don't know you tell me,,AskingQuestionIntent,i don't know you tell me
how can i prepare a orange cake,,AskingQuestionIntent,how can i prepare a orange cake
never mind i'll talk to you stop,,AskingQuestionIntent,never mind i'll talk to you stop
volume six,,AskingQuestionIntent,volume six
what is the population of vatican city,,AskingQuestionIntent,what is the population of vatican city
write me a poem about springtime,,AskingQuestionIntent,write me a poem about springtime
wow,,AskingQuestionIntent,wow
what do you think,,AskingQuestionIntent,what do you think
llama llama,,AskingQuestionIntent,llama llama
how much is zero divided by zero,,AskingQuestionIntent,how much is zero divided by zero
how many u. s. senators are there,,AskingQuestionIntent,how many u. s. senators are there
what do i talk to,,AskingQuestionIntent,what do i talk to
nothing else thank you,,AskingQuestionIntent,nothing else thank you
set volume to six,,AskingQuestionIntent,set volume to six
i'm talking to you,,AskingQuestionIntent,i'm talking to you
what are the best ingredients for buffalo chicken wings,,AskingQuestionIntent,what are the best ingredients for buffalo chicken wings
tell me a little bit about yourself,,AskingQuestionIntent,tell me a little bit about yourself
tell me about the universe,,AskingQuestionIntent,tell me about the universe
tell me a poem,,AskingQuestionIntent,tell me a poem
how do i get rid of carpenter bees,,AskingQuestionIntent,how do i get rid of carpenter bees
fly,,AskingQuestionIntent,fly
subscription,,AskingQuestionIntent,subscription
how to,,AskingQuestionIntent,how to
lateera,,AskingQuestionIntent,lateera
who's your favorite team,,AskingQuestionIntent,who's your favorite team
how can i change alexa's voice into jarvis,,AskingQuestionIntent,how can i change alexa's voice into jarvis
what's the time now,,AskingQuestionIntent,what's the time now
play my friend,,AskingQuestionIntent,play my friend
add,,AskingQuestionIntent,add
got it,,AskingQuestionIntent,got it
yo'mama,,AskingQuestionIntent,yo'mama
history,,AskingQuestionIntent,history
awesome,,AskingQuestionIntent,awesome
give me,,AskingQuestionIntent,give me
tell me a story about a man,,AskingQuestionIntent,tell me a story about a man
on project,,AskingQuestionIntent,on project
no clear,,AskingQuestionIntent,no clear
what do i talk about,,AskingQuestionIntent,what do i talk about
i need to clean my room,,AskingQuestionIntent,i need to clean my room
how old will i be in twenty five years,,AskingQuestionIntent,how old will i be in twenty five years
search how to make money,,AskingQuestionIntent,search how to make money
can you repeat that please,,AskingQuestionIntent,can you repeat that please
you are,,AskingQuestionIntent,you are
jarvis what day is it today,,AskingQuestionIntent,jarvis what day is it today
tell me about the end of the world,,AskingQuestionIntent,tell me about the end of the world
what would you look like if you were a human,,AskingQuestionIntent,what would you look like if you were a human
can you tell me a story about how,,AskingQuestionIntent,can you tell me a story about how
deez nuts,,AskingQuestionIntent,deez nuts
hot cross buns,,AskingQuestionIntent,hot cross buns
turn the volume up to eight,,AskingQuestionIntent,turn the volume up to eight
why is it ok please do that,,AskingQuestionIntent,why is it ok please do that
that's enough for today thank you,,AskingQuestionIntent,that's enough for today thank you
dirt bikes,,AskingQuestionIntent,dirt bikes
volume three,,AskingQuestionIntent,volume three
